190
33360,test_Six Core Asset ETFs_Strategic Asset Allocation_11,2011-09-12 00:00:00,fail,2011-09-13 18:11:01,2011-09-13 18:11:02,0.759secs,success.
33358,terence test 0707 Schwab OneSource Select List Funds_Tactical Asset Allocation,2011-07-18 00:00:00,fail,2011-09-13 18:11:02,2011-09-13 18:11:03,1.143secs,"Index: 0, Size: 0
	java.util.ArrayList.RangeCheck(Unknown Source)
	java.util.ArrayList.get(Unknown Source)
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33357,test 3 Six Core Asset ETFs_Strategic Asset Allocation,2011-09-12 00:00:00,fail,2011-09-13 18:11:03,2011-09-13 18:11:03,0.669secs,success.
33356,terence test2 Six Core Asset ETFs_Strategic Asset Allocation,2011-09-12 00:00:00,fail,2011-09-13 18:11:03,2011-09-13 18:11:04,0.759secs,success.
33351,test_MyPlanIQ Diversified Core Allocation EnTF Plan_Strategic Asset Allocation,2011-05-06 00:00:00,fail,2011-09-13 18:11:04,2011-09-13 18:11:05,0.763secs,success.
33341,admin_test1_MyPlanIQ Diversified Core Allocation ETF Plan_Strategic Asset Allocation,2011-05-06 00:00:00,fail,2011-09-13 18:11:05,2011-09-13 18:11:06,0.76secs,success.
33340,test_MyPlanIQ Diversified Core Allocation ETF Plan_Strategic Asset Allocation_9,2011-05-06 00:00:00,fail,2011-09-13 18:11:06,2011-09-13 18:11:06,0.664secs,success.
33338,test_TD Ameritrade Commission Free ETFs_Strategic Asset Allocation_2,2011-09-01 00:00:00,fail,2011-09-13 18:11:06,2011-09-13 18:11:07,0.63secs,"Exception : No price exception!
Security ID : 890
Security Name : CASH
Date : 2011-09-01 00:00:00.0
	com.lti.cache.YearCache.getValue(YearCache.java:123)
	com.lti.cache.YearCache.getOpen(YearCache.java:69)
	com.lti.service.impl.SecurityManagerImplWithYearCache.getOpenPrice(SecurityManagerImplWithYearCache.java:78)
	com.lti.executor.Simulator.refreshprice(Simulator.java:336)
	com.lti.executor.Simulator.simulate(Simulator.java:930)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
33337,test_MyPlanIQ Diversified Core Allocation ETF Plan_Strategic Asset Allocation_2,2011-05-06 00:00:00,fail,2011-09-13 18:11:07,2011-09-13 18:11:08,0.817secs,success.
33333,test_MyPlanIQ Diversified Core Allocation ETF Plan_Tactical Asset Allocation_4,2011-05-06 00:00:00,fail,2011-09-13 18:11:08,2011-09-13 18:11:09,0.806secs,success.
